date	close
20260121	19395.63
20260122	19697.2
20260126	19832.36
20260127	20032.43
20260128	20353.63
20260129	20177.05
20260130	19850.96
20260202	19653.94
20260203	20032.16
20260204	19990.55
20260205	19745.61
20260206	19835.89
20260209	20225.69
20260210	20751.75
20260211	21113.24
20260223	21113.94
20260224	21722.74
20260225	22202.45
20260226	22133.3
20260302	21905.89
20260303	21455.47
20260304	20579.01
20260305	21070.33
20260306	20971.82
20260309	20091.56
20260310	20492.45
20260311	21348.18
20260312	20944.96
20260313	20809.43
20260316	20691.33
20260317	20963.63
20260318	21248.86
20260319	20744.83
20260320	20687.21
20260323	20246.92
20260325	20719.62
20260326	20641.71
20260327	20483.28
20260330	20067.37
20260331	19703.74
20260401	20634.47
20260402	20255.87
20260407	20707.8
20260408	21690.47
20260409	21737.42
20260410	22141.29
20260413	22080.89
20260414	22660.01
20260415	22948.55
20260416	23155.78
20260417	22822.13
20260420	22908.82
20260421	23302.72
20260422	23457.23
20260423	23544.6
20260424	24513.0
20260427	25071.81
20260428	24865.35
20260429	24666.05
20260430	24342.54
