date	close
20260120	491.23
20260121	489.5
20260122	501.67
20260123	496.97
20260126	496.17
20260127	495.41
20260128	507.47
20260129	499.73
20260130	489.41
20260202	480.61
20260203	486.14
20260204	498.29
20260205	487.11
20260206	474.23
20260209	488.38
20260210	492.7
20260211	493.81
20260223	499.69
20260224	503.28
20260225	513.91
20260226	521.34
20260302	516.23
20260303	495.75
20260305	477.02
20260306	472.55
20260309	444.88
20260310	456.9
20260311	472.53
20260312	472.45
20260313	470.3
20260317	471.79
20260318	478.09
20260319	469.31
20260320	463.3
20260323	448.62
20260324	445.79
20260325	462.31
20260326	458.18
20260327	453.23
20260330	450.91
20260331	433.64
20260401	448.19
20260402	441.02
20260407	447.64
20260408	465.15
20260409	464.99
20260410	473.53
20260413	479.44
20260414	491.22
20260415	504.33
20260416	508.95
20260417	518.56
20260420	521.89
20260422	534.34
20260423	529.81
20260424	523.77
20260427	525.49
20260428	535.51
20260429	544.29
20260430	554.86
