Datetime	Open	High	Low	Close	Volume	Dividends	Stock Splits
2026-04-28 09:00:00+08:00	35.2	35.4	35.15	35.35	0	0.0	0.0
2026-04-28 10:00:00+08:00	35.35	35.5	35.25	35.4	1387045	0.0	0.0
2026-04-28 11:00:00+08:00	35.4	35.5	35.25	35.45	1435785	0.0	0.0
2026-04-28 12:00:00+08:00	35.45	35.45	35.25	35.4	1550284	0.0	0.0
2026-04-28 13:00:00+08:00	35.4	35.4	35.25	35.3	972736	0.0	0.0
2026-04-29 09:00:00+08:00	35.5	35.65	35.35	35.5	0	0.0	0.0
2026-04-29 10:00:00+08:00	35.55	35.6	35.3	35.5	1925734	0.0	0.0
2026-04-29 11:00:00+08:00	35.5	35.5	35.25	35.45	955752	0.0	0.0
2026-04-29 12:00:00+08:00	35.45	35.6	35.4	35.55	820520	0.0	0.0
2026-04-29 13:00:00+08:00	35.6	35.6	35.25	35.4	1760865	0.0	0.0
2026-04-30 09:00:00+08:00	35.2	35.5	35.2	35.3	0	0.0	0.0
2026-04-30 10:00:00+08:00	35.35	35.35	35.15	35.15	2463547	0.0	0.0
2026-04-30 11:00:00+08:00	35.25	35.25	35.05	35.1	2138711	0.0	0.0
2026-04-30 12:00:00+08:00	35.1	35.1	35.05	35.1	2326377	0.0	0.0
2026-04-30 13:00:00+08:00	35.1	35.2	35.05	35.2	1337459	0.0	0.0
2026-05-04 09:00:00+08:00	35.25	35.3	34.75	34.8	0	0.0	0.0
2026-05-04 10:00:00+08:00	34.85	34.85	34.7	34.75	1651966	0.0	0.0
2026-05-04 11:00:00+08:00	34.75	34.9	34.7	34.8	1323451	0.0	0.0
2026-05-04 12:00:00+08:00	34.85	35.0	34.8	34.95	1144806	0.0	0.0
2026-05-04 13:00:00+08:00	34.95	35.05	34.85	35.0	660446	0.0	0.0
2026-05-05 09:00:00+08:00	34.85	34.85	34.6	34.75	1555874	0.0	0.0
2026-05-05 10:00:00+08:00	34.75	34.95	34.75	34.95	3109942	0.0	0.0
2026-05-05 11:00:00+08:00	34.9	35.0	34.8	34.95	798944	0.0	0.0
2026-05-05 12:00:00+08:00	34.95	35.0	34.75	34.75	1055587	0.0	0.0
