date	close
20260123	10420.45
20260126	10578.13
20260127	10640.2
20260128	10683.32
20260129	10565.14
20260130	10368.86
20260202	10247.35
20260203	10385.55
20260204	10460.99
20260205	10357.42
20260206	10377.06
20260209	10509.5
20260210	10604.5
20260211	10702.56
20260223	10833.96
20260224	10991.19
20260225	11075.9
20260226	11149.7
20260302	11011.27
20260303	10841.92
20260304	10384.85
20260305	10628.35
20260306	10651.46
20260309	10371.69
20260310	10470.67
20260311	10686.46
20260312	10672.46
20260313	10658.09
20260316	10718.71
20260317	10821.28
20260318	10911.52
20260319	10698.24
20260320	10701.49
20260323	10428.34
20260324	10458.04
20260325	10631.99
20260326	10592.16
20260327	10574.47
20260330	10386.24
20260331	10182.33
20260401	10486.8
20260402	10395.0
20260407	10480.34
20260408	10796.73
20260409	10826.81
20260410	10861.75
20260413	10891.37
20260414	10999.98
20260415	11086.56
20260416	11267.46
20260417	11308.29
20260420	11352.2
20260421	11501.47
20260422	11625.25
20260423	11385.06
20260424	11514.61
20260427	11497.72
20260428	11583.1
20260429	11536.93
20260430	11454.17
