Datetime	Open	High	Low	Close	Volume	Dividends	Stock Splits	Capital Gains
2026-04-30 09:00:00+08:00	91.25	91.9	90.75	91.5	0	0.0	0.0	0.0
2026-04-30 10:00:00+08:00	91.5	91.55	90.7	90.9	19165005	0.0	0.0	0.0
2026-04-30 11:00:00+08:00	90.9	91.05	90.75	90.95	9814103	0.0	0.0	0.0
2026-04-30 12:00:00+08:00	91.0	91.1	90.3	90.45	20762041	0.0	0.0	0.0
2026-04-30 13:00:00+08:00	90.4	90.75	90.4	90.7	8207132	0.0	0.0	0.0
2026-05-04 09:00:00+08:00	92.5	93.65	92.4	93.65	0	0.0	0.0	0.0
2026-05-04 10:00:00+08:00	93.65	94.5	93.4	94.45	25918812	0.0	0.0	0.0
2026-05-04 11:00:00+08:00	94.5	94.6	94.35	94.6	18501530	0.0	0.0	0.0
2026-05-04 12:00:00+08:00	94.55	94.6	94.45	94.6	17049672	0.0	0.0	0.0
2026-05-04 13:00:00+08:00	94.6	94.65	94.5	94.6	8914132	0.0	0.0	0.0
2026-05-05 09:00:00+08:00	94.4	94.75	94.0	94.1	0	0.0	0.0	0.0
2026-05-05 10:00:00+08:00	94.1	94.4	94.0	94.15	12589132	0.0	0.0	0.0
2026-05-05 11:00:00+08:00	94.15	94.6	94.1	94.5	12465038	0.0	0.0	0.0
2026-05-05 12:00:00+08:00	94.5	94.7	94.45	94.6	13495720	0.0	0.0	0.0
2026-05-05 13:00:00+08:00	94.6	94.65	94.55	94.65	5322529	0.0	0.0	0.0
2026-05-06 09:00:00+08:00	96.05	96.9	95.25	95.8	0	0.0	0.0	0.0
2026-05-06 10:00:00+08:00	95.8	95.8	94.7	95.0	30397511	0.0	0.0	0.0
2026-05-06 11:00:00+08:00	95.0	95.55	94.8	95.5	12872601	0.0	0.0	0.0
2026-05-06 12:00:00+08:00	95.5	95.7	95.3	95.65	10745408	0.0	0.0	0.0
2026-05-06 13:00:00+08:00	95.7	95.95	95.55	95.75	7286970	0.0	0.0	0.0
2026-05-07 09:00:00+08:00	97.95	98.4	97.4	98.05	44274552	0.0	0.0	0.0
2026-05-07 10:00:00+08:00	98.1	98.2	97.8	98.05	22949049	0.0	0.0	0.0
2026-05-07 11:00:00+08:00	98.05	98.05	97.85	97.95	2550870	0.0	0.0	0.0
