Date	Open	High	Low	Close	Volume	Dividends	Stock Splits	Capital Gains
2021-04-29 00:00:00+08:00	124.11400811073364	124.25660744623454	123.06823129524426	123.1633071899414	1126112	0.0	0.0	0.0
2021-05-03 00:00:00+08:00	122.40275012122261	122.40275012122261	119.78832244873047	119.78832244873047	1131879	0.0	0.0	0.0
2021-05-04 00:00:00+08:00	119.78831689453125	120.16859871627949	116.41332569976524	118.83761596679688	1242781	0.0	0.0	0.0
2021-05-05 00:00:00+08:00	118.93268316009184	119.02775180105267	117.07881927490234	117.07881927490234	1046405	0.0	0.0	0.0
2021-05-06 00:00:00+08:00	117.55417509060617	118.26720081021769	116.27073024595998	117.4591064453125	1137234	0.0	0.0	0.0
2021-05-07 00:00:00+08:00	118.9326860154801	120.5964126586914	118.50487349424907	120.5964126586914	1159173	0.0	0.0	0.0
2021-05-10 00:00:00+08:00	120.50134724545066	120.50134724545066	117.98198823897407	118.07705688476562	927367	0.0	0.0	0.0
2021-05-11 00:00:00+08:00	115.27247768249954	115.36754631653177	112.75311898765034	113.18093872070312	1728295	0.0	0.0	0.0
2021-05-12 00:00:00+08:00	112.56298804088713	113.37108235544973	103.15104767770478	109.80595397949219	2267672	0.0	0.0	0.0
2021-05-13 00:00:00+08:00	107.42920252087464	111.27954409660428	106.00315115997806	108.76018524169922	1338424	0.0	0.0	0.0
2021-05-14 00:00:00+08:00	110.75664826350318	111.75488705044863	109.52073426569184	110.42390441894531	1225656	0.0	0.0	0.0
2021-05-17 00:00:00+08:00	106.4784910508074	110.376362933263	106.38342242016635	107.9996109008789	1265650	0.0	0.0	0.0
2021-05-18 00:00:00+08:00	110.37637252349525	113.60875701904297	109.75841549072885	113.60875701904297	1237520	0.0	0.0	0.0
2021-05-19 00:00:00+08:00	113.13340346977417	113.7513604855996	112.18270260028027	112.84819030761719	814535	0.0	0.0	0.0
2021-05-20 00:00:00+08:00	112.99080493770899	112.99080493770899	111.51722283698454	111.75489807128906	819144	0.0	0.0	0.0
2021-05-21 00:00:00+08:00	113.27601623535156	114.5594610285858	112.89573441613746	113.27601623535156	1060277	0.0	0.0	0.0
2021-05-24 00:00:00+08:00	112.42038438580364	114.03657305706012	112.23024710210491	113.32354736328125	771155	0.0	0.0	0.0
2021-05-25 00:00:00+08:00	114.5119224583232	116.4133242907787	114.5119224583232	115.98551177978516	1092827	0.0	0.0	0.0
2021-05-26 00:00:00+08:00	116.7460754140763	116.9362126960129	115.46262337455096	115.98551177978516	887816	0.0	0.0	0.0
2021-05-27 00:00:00+08:00	114.93974077066598	115.32002258300781	114.1791771459823	115.32002258300781	779301	0.0	0.0	0.0
2021-05-28 00:00:00+08:00	116.46085159981298	117.60168969376778	116.27071433524442	117.41155242919922	1070532	0.0	0.0	0.0
2021-05-31 00:00:00+08:00	117.98198448465922	119.17036065242023	117.45910332280788	118.8851547241211	909004	0.0	0.0	0.0
2021-06-01 00:00:00+08:00	119.26542207884164	119.78831046232729	118.83760958564216	118.93267822265625	805215	0.0	0.0	0.0
2021-06-02 00:00:00+08:00	119.07528684771673	119.4080307096108	117.69677345418178	117.98197937011719	486648	0.0	0.0	0.0
