Date	Open	High	Low	Close	Volume	Dividends	Stock Splits
2021-04-28 00:00:00+08:00	552.6134337365033	554.437240448505	548.0539169564992	548.9658203125	24024054	0.0	0.0
2021-04-29 00:00:00+08:00	555.3489733886719	555.3489733886719	547.141845703125	547.141845703125	31828333	0.0	0.0
2021-05-03 00:00:00+08:00	542.5822957356771	544.4061017717634	536.198974609375	536.198974609375	41762441	0.0	0.0
2021-05-04 00:00:00+08:00	536.1989225590895	541.6703401362231	530.7275049819559	538.9346313476562	40273595	0.0	0.0
2021-05-05 00:00:00+08:00	541.6703838641827	541.6703838641827	533.4632568359375	533.4632568359375	29254785	0.0	0.0
2021-05-06 00:00:00+08:00	538.0230026635035	538.0230026635035	528.9039687200543	535.2872924804688	30725590	0.0	0.0
2021-05-07 00:00:00+08:00	541.6705252976967	547.1419447451482	537.1110090914871	546.2300415039062	28075722	0.0	0.0
2021-05-10 00:00:00+08:00	543.494345802605	544.4062490673746	536.1991196844493	537.1110229492188	20434079	0.0	0.0
2021-05-11 00:00:00+08:00	527.9919417559996	528.9038449369253	519.784813127668	520.6967163085938	59349193	0.0	0.0
2021-05-12 00:00:00+08:00	517.049031829834	520.6966440473284	472.3657821655273	510.66571044921875	131741482	0.0	0.0
2021-05-13 00:00:00+08:00	498.81109619140625	513.4015487308258	493.3396764891239	498.81109619140625	66765627	0.0	0.0
2021-05-14 00:00:00+08:00	507.0183028763886	512.4897234110259	503.3706891866304	507.9302062988281	37533726	0.0	0.0
2021-05-17 00:00:00+08:00	496.0753714139344	508.842017001793	493.3396616451076	500.6348876953125	56270958	0.0	0.0
2021-05-18 00:00:00+08:00	513.4014535116983	522.5204846575543	506.10622859501336	521.6085815429688	43689316	0.0	0.0
2021-05-19 00:00:00+08:00	520.6968691655989	521.608772614225	515.2254484738412	517.0492553710938	28908777	0.0	0.0
2021-05-20 00:00:00+08:00	517.0492553710938	520.6968691655989	510.6659312307099	517.0492553710938	29709287	0.0	0.0
2021-05-21 00:00:00+08:00	521.608665586142	526.1681818937132	517.9610525400851	522.5205688476562	27376731	0.0	0.0
2021-05-24 00:00:00+08:00	519.7847436179577	521.6085497359155	516.1371313820423	517.9609375	15629736	0.0	0.0
2021-05-25 00:00:00+08:00	525.2562044382504	532.5514294998928	522.5204950401345	531.6395263671875	33039911	0.0	0.0
2021-05-26 00:00:00+08:00	535.2870628422143	536.1989658453525	529.8156448233841	533.4632568359375	18703987	0.0	0.0
2021-05-27 00:00:00+08:00	528.9037939117536	530.7276000976562	522.5204722610945	530.7276000976562	62169719	0.0	0.0
2021-05-28 00:00:00+08:00	535.2870571330443	539.846572100106	530.7275421659825	538.0227661132812	29086873	0.0	0.0
2021-05-31 00:00:00+08:00	542.5823826366533	544.4061889648438	538.0228668161773	544.4061889648438	30657474	0.0	0.0
2021-06-01 00:00:00+08:00	545.3180541992188	546.2299572998863	542.582344897216	545.3180541992188	17818326	0.0	0.0
2021-06-02 00:00:00+08:00	547.1419134059875	547.1419134059875	540.7585910829175	542.5823974609375	21872755	0.0	0.0
2021-06-03 00:00:00+08:00	547.1419366414115	547.1419366414115	543.4943237304688	543.4943237304688	21077164	0.0	0.0
2021-06-04 00:00:00+08:00	538.9347847048977	542.5823974609375	538.0228815158877	542.5823974609375	15756180	0.0	0.0
2021-06-07 00:00:00+08:00	541.6703635550834	542.5822665240314	531.6394308966559	539.8465576171875	17077625	0.0	0.0
2021-06-08 00:00:00+08:00	538.0229262139883	542.5824425378356	536.1991196844493	537.1110229492188	13396324	0.0	0.0
2021-06-09 00:00:00+08:00	534.3751831054688	536.1989891911529	531.6394739769424	534.3751831054688	20023490	0.0	0.0
2021-06-10 00:00:00+08:00	538.9348155739709	546.2300415039062	535.2872026090033	546.2300415039062	28527745	0.0	0.0
2021-06-11 00:00:00+08:00	548.9658203125	549.8777236685008	547.1420136004983	548.9658203125	24227710	0.0	0.0
2021-06-15 00:00:00+08:00	553.5251927869073	555.3489990234375	552.6132896686422	555.3489990234375	26012250	0.0	0.0
2021-06-16 00:00:00+08:00	554.4372481921488	554.4372481921488	551.7015380859375	551.7015380859375	25856919	0.0	0.0
