Datetime	Open	High	Low	Close	Volume	Dividends	Stock Splits	Capital Gains
2026-04-30 09:00:00+08:00	41.04	41.3	41.03	41.28	0	0.0	0.0	0.0
2026-04-30 10:00:00+08:00	41.29	41.3	41.01	41.02	8316860	0.0	0.0	0.0
2026-04-30 11:00:00+08:00	41.03	41.19	41.0	41.17	8006000	0.0	0.0	0.0
2026-04-30 12:00:00+08:00	41.17	41.18	40.81	40.87	8101915	0.0	0.0	0.0
2026-04-30 13:00:00+08:00	40.87	40.92	40.85	40.91	3602398	0.0	0.0	0.0
2026-05-04 09:00:00+08:00	41.51	41.9	41.51	41.85	0	0.0	0.0	0.0
2026-05-04 10:00:00+08:00	41.85	41.87	41.76	41.86	18999439	0.0	0.0	0.0
2026-05-04 11:00:00+08:00	41.86	41.88	41.83	41.87	11987469	0.0	0.0	0.0
2026-05-04 12:00:00+08:00	41.87	41.9	41.85	41.89	15497984	0.0	0.0	0.0
2026-05-04 13:00:00+08:00	41.89	41.94	41.89	41.92	12758831	0.0	0.0	0.0
2026-05-05 09:00:00+08:00	42.15	42.49	42.15	42.44	0	0.0	0.0	0.0
2026-05-05 10:00:00+08:00	42.44	42.5	42.37	42.45	15208826	0.0	0.0	0.0
2026-05-05 11:00:00+08:00	42.46	42.68	42.44	42.62	24025805	0.0	0.0	0.0
2026-05-05 12:00:00+08:00	42.62	42.63	42.54	42.55	7646816	0.0	0.0	0.0
2026-05-05 13:00:00+08:00	42.54	42.64	42.53	42.63	7524885	0.0	0.0	0.0
2026-05-06 09:00:00+08:00	43.59	43.9	43.4	43.55	0	0.0	0.0	0.0
2026-05-06 10:00:00+08:00	43.55	43.57	43.16	43.39	21492979	0.0	0.0	0.0
2026-05-06 11:00:00+08:00	43.38	43.77	43.31	43.72	13897648	0.0	0.0	0.0
2026-05-06 12:00:00+08:00	43.71	43.85	43.68	43.83	11979990	0.0	0.0	0.0
2026-05-06 13:00:00+08:00	43.83	43.9	43.79	43.86	7494890	0.0	0.0	0.0
2026-05-07 09:00:00+08:00	44.23	44.68	44.01	44.58	31760731	0.0	0.0	0.0
2026-05-07 10:00:00+08:00	44.58	44.69	44.5	44.6	13763424	0.0	0.0	0.0
2026-05-07 11:00:00+08:00	44.6	44.6	44.5	44.5	1495801	0.0	0.0	0.0
