Datetime	Open	High	Low	Close	Volume	Dividends	Stock Splits	Capital Gains
2026-04-30 09:00:00+08:00	271.8	271.8	271.8	271.8	0	0.0	0.0	0.0
2026-04-30 12:00:00+08:00	270.65	270.65	270.65	270.65	1000	0.0	0.0	0.0
2026-04-30 13:00:00+08:00	270.5	270.5	270.5	270.5	1000	0.0	0.0	0.0
2026-05-04 09:00:00+08:00	277.9	278.4	277.9	278.4	7044	0.0	0.0	0.0
2026-05-04 10:00:00+08:00	279.45	280.0	279.45	280.0	7096	0.0	0.0	0.0
2026-05-04 12:00:00+08:00	280.5	281.2	280.5	281.2	0	0.0	0.0	0.0
2026-05-05 09:00:00+08:00	280.3	280.4	280.3	280.4	5036	0.0	0.0	0.0
2026-05-05 12:00:00+08:00	281.4	281.4	281.4	281.4	0	0.0	0.0	0.0
2026-05-06 09:00:00+08:00	286.05	286.6	283.1	283.1	4236	0.0	0.0	0.0
2026-05-06 10:00:00+08:00	280.9	280.9	280.9	280.9	3344	0.0	0.0	0.0
2026-05-06 11:00:00+08:00	281.8	281.8	281.8	281.8	2038	0.0	0.0	0.0
2026-05-06 12:00:00+08:00	283.6	283.6	283.6	283.6	1341	0.0	0.0	0.0
2026-05-06 13:00:00+08:00	284.05	284.05	284.05	284.05	2005	0.0	0.0	0.0
2026-05-07 09:00:00+08:00	289.35	291.35	289.35	291.35	2060	0.0	0.0	0.0
