date	close
20260123	60201.03
20260126	60219.29
20260127	60983.54
20260128	62150.75
20260129	61512.2
20260130	60529.3
20260202	59910.32
20260203	61193.93
20260204	61065.06
20260205	60073.81
20260206	60316.1
20260209	61662.04
20260210	63531.29
20260211	64589.18
20260223	64270.7
20260224	66422.71
20260225	68112.11
20260226	67784.79
20260302	67069.16
20260303	65468.52
20260304	62735.33
20260305	64356.33
20260306	64100.78
20260309	61155.25
20260310	62582.93
20260311	65566.7
20260312	64168.61
20260313	63670.15
20260316	63252.87
20260317	64163.6
20260318	65238.42
20260319	63675.09
20260320	63332.35
20260323	61906.79
20260324	61661.15
20260325	63041.38
20260326	62955.57
20260327	62373.3
20260330	60945.76
20260331	59713.34
20260401	62807.76
20260402	61443.76
20260407	62873.07
20260408	66163.84
20260409	66420.35
20260410	67733.87
20260413	67607.15
20260414	69667.57
20260415	70623.11
20260416	9300.98
20260417	70015.32
20260420	70276.51
20260421	71619.85
20260422	72244.62
20260423	72599.22
20260424	75985.61
20260427	78194.9
20260428	77213.07
20260429	76282.21
20260430	75263.31
