Datetime	Open	High	Low	Close	Volume	Dividends	Stock Splits
2026-04-30 09:00:00+08:00	24.5	24.75	24.5	24.7	0	0.0	0.0
2026-04-30 10:00:00+08:00	24.7	24.7	24.45	24.45	3772799	0.0	0.0
2026-04-30 11:00:00+08:00	24.45	24.6	24.45	24.6	3116357	0.0	0.0
2026-04-30 12:00:00+08:00	24.6	24.6	24.45	24.5	3743807	0.0	0.0
2026-04-30 13:00:00+08:00	24.5	24.55	24.45	24.5	2251932	0.0	0.0
2026-05-04 09:00:00+08:00	24.55	24.8	24.4	24.55	0	0.0	0.0
2026-05-04 10:00:00+08:00	24.55	24.6	24.3	24.5	7000754	0.0	0.0
2026-05-04 11:00:00+08:00	24.5	24.5	24.4	24.45	3060269	0.0	0.0
2026-05-04 12:00:00+08:00	24.5	24.55	24.45	24.5	3347676	0.0	0.0
2026-05-04 13:00:00+08:00	24.5	24.55	24.4	24.4	3893879	0.0	0.0
2026-05-05 09:00:00+08:00	24.45	24.5	24.25	24.3	0	0.0	0.0
2026-05-05 10:00:00+08:00	24.3	24.3	24.05	24.1	8933693	0.0	0.0
2026-05-05 11:00:00+08:00	24.1	24.2	24.05	24.15	4085238	0.0	0.0
2026-05-05 12:00:00+08:00	24.15	24.25	24.1	24.1	2837474	0.0	0.0
2026-05-05 13:00:00+08:00	24.1	24.15	24.1	24.1	2416379	0.0	0.0
2026-05-06 09:00:00+08:00	24.25	24.7	24.1	24.5	0	0.0	0.0
2026-05-06 10:00:00+08:00	24.55	24.8	24.4	24.65	8162511	0.0	0.0
2026-05-06 11:00:00+08:00	24.65	25.2	24.65	25.15	9306307	0.0	0.0
2026-05-06 12:00:00+08:00	25.2	25.4	25.0	25.05	7752582	0.0	0.0
2026-05-06 13:00:00+08:00	25.05	25.1	25.0	25.0	3280425	0.0	0.0
2026-05-07 09:00:00+08:00	25.25	25.25	24.95	25.1	6542569	0.0	0.0
2026-05-07 10:00:00+08:00	25.15	25.25	25.05	25.1	27356347	0.0	0.0
2026-05-07 11:00:00+08:00	25.1	25.15	25.05	25.1	850348	0.0	0.0
