Datetime	Open	High	Low	Close	Volume	Dividends	Stock Splits	Capital Gains
2026-04-24 09:00:00+08:00	204.85	206.0	203.65	206.0	0	0.0	0.0	0.0
2026-04-24 10:00:00+08:00	205.35	205.35	202.15	203.6	9358	0.0	0.0	0.0
2026-04-24 11:00:00+08:00	204.55	204.55	204.55	204.55	2670	0.0	0.0	0.0
2026-04-24 12:00:00+08:00	205.0	205.55	205.0	205.55	3721	0.0	0.0	0.0
2026-04-24 13:00:00+08:00	205.75	206.6	205.75	206.6	5316	0.0	0.0	0.0
2026-04-27 09:00:00+08:00	209.5	214.75	209.5	211.1	0	0.0	0.0	0.0
2026-04-27 10:00:00+08:00	213.15	213.15	213.15	213.15	1310	0.0	0.0	0.0
2026-04-27 11:00:00+08:00	212.2	213.45	212.2	213.45	4623	0.0	0.0	0.0
2026-04-27 12:00:00+08:00	213.8	213.8	213.8	213.8	1000	0.0	0.0	0.0
2026-04-27 13:00:00+08:00	213.05	213.05	213.0	213.05	3010	0.0	0.0	0.0
2026-04-28 09:00:00+08:00	213.5	214.15	212.7	212.7	9418	0.0	0.0	0.0
2026-04-28 10:00:00+08:00	212.15	212.35	211.5	211.5	9922	0.0	0.0	0.0
2026-04-28 11:00:00+08:00	211.6	211.6	211.6	211.6	2157	0.0	0.0	0.0
2026-04-28 12:00:00+08:00	212.2	212.2	212.2	212.2	1228	0.0	0.0	0.0
2026-04-28 13:00:00+08:00	211.5	211.5	211.5	211.5	1816	0.0	0.0	0.0
2026-04-29 09:00:00+08:00	207.0	208.6	206.25	207.35	343	0.0	0.0	0.0
2026-04-29 10:00:00+08:00	207.75	207.75	207.75	207.75	1246	0.0	0.0	0.0
2026-04-29 11:00:00+08:00	208.1	208.1	208.1	208.1	6076	0.0	0.0	0.0
2026-04-29 12:00:00+08:00	210.15	210.15	210.15	210.15	2648	0.0	0.0	0.0
2026-04-29 13:00:00+08:00	208.9	208.9	208.9	208.9	1224	0.0	0.0	0.0
2026-04-30 09:00:00+08:00	211.05	211.1	209.5	209.7	0	0.0	0.0	0.0
2026-04-30 11:00:00+08:00	209.7	209.7	209.7	209.7	1402	0.0	0.0	0.0
2026-04-30 12:00:00+08:00	209.85	210.1	209.0	209.0	6739	0.0	0.0	0.0
2026-04-30 13:00:00+08:00	209.25	209.25	209.25	209.25	10106	0.0	0.0	0.0
