date	close
20260114	25137.66
20260116	25608.72
20260119	25978.95
20260120	26082.45
20260121	25677.9
20260122	26065.35
20260123	26193.9
20260127	26715.53
20260129	27015.93
20260130	26950.58
20260202	26397.06
20260203	26774.33
20260204	27228.82
20260205	26570.52
20260206	26104.12
20260209	26482.34
20260210	26744.85
20260211	26884.9
20260224	28118.64
20260225	28422.24
20260226	28820.73
20260302	28548.44
20260303	27634.01
20260304	26162.2
20260305	26970.16
20260306	27040.63
20260309	25778.76
20260311	27506.23
20260312	27510.0
20260313	27552.33
20260316	27840.69
20260317	28289.47
20260318	28988.63
20260319	28713.23
20260320	28464.92
20260323	27413.67
20260324	27078.31
20260325	27928.75
20260326	27882.32
20260327	27912.4
20260330	27492.91
20260331	26406.95
20260401	27454.53
20260402	27269.59
20260407	27776.22
20260408	28863.19
20260410	29292.14
20260413	29426.98
20260414	29685.94
20260415	30011.99
20260416	30628.28
20260417	30824.43
20260420	31148.01
20260422	31787.8
20260423	31298.52
20260424	31403.27
20260427	31387.24
20260428	31851.97
20260429	31862.26
20260430	31993.56
