date	close
20260121	31246.37
20260122	31746.08
20260123	31961.51
20260126	32064.52
20260127	32317.92
20260128	32803.82
20260129	32536.27
20260202	31624.03
20260203	32195.36
20260204	32289.81
20260205	31801.27
20260206	31782.92
20260209	32404.62
20260210	33072.97
20260216	10506.52
20260223	33773.26
20260224	34700.82
20260225	35413.07
20260226	35414.49
20260227	10486.67
20260302	35095.09
20260303	34323.65
20260304	32828.88
20260305	33672.94
20260306	33599.54
20260309	32110.42
20260310	32771.87
20260311	34114.19
20260312	33581.86
20260313	33400.32
20260317	33836.57
20260318	34348.58
20260319	33689.68
20260320	34348.58
20260323	32722.5
20260324	32612.24
20260325	33439.11
20260326	33337.62
20260327	33112.59
20260330	32518.16
20260331	31722.99
20260401	33174.82
20260402	32572.43
20260407	33229.82
20260408	34761.38
20260409	34861.16
20260410	35417.83
20260413	35457.29
20260415	36722.14
20260416	37132.02
20260417	36804.34
20260420	36958.8
20260421	37605.11
20260422	37878.47
20260423	37714.15
20260424	38932.4
20260427	39616.63
20260428	39521.73
20260429	39303.5
20260430	38926.63
