date	close
20260123	35640.37
20260126	35776.0
20260127	36060.63
20260128	36597.88
20260129	36288.46
20260130	35759.18
20260202	35248.79
20260203	35873.8
20260204	35999.5
20260205	35449.7
20260206	35382.25
20260209	36076.16
20260210	36766.77
20260211	37328.16
20260223	37554.19
20260224	38579.21
20260225	39331.57
20260226	39363.07
20260302	39026.43
20260303	38166.45
20260304	36490.89
20260305	37453.65
20260306	37397.32
20260309	35705.96
20260310	36463.94
20260311	37972.9
20260312	37422.95
20260313	37246.37
20260316	37223.52
20260317	37767.7
20260318	38369.41
20260319	37691.07
20260320	37528.27
20260323	36580.62
20260324	36429.74
20260325	37389.52
20260326	37266.73
20260327	37052.82
20260330	36398.33
20260331	35466.69
20260401	37084.45
20260402	36432.95
20260407	37179.4
20260408	38898.04
20260409	39013.06
20260410	39648.53
20260413	39712.9
20260414	40613.08
20260415	41087.03
20260416	41563.58
20260417	41279.6
20260420	41535.49
20260421	42264.97
20260422	42586.6
20260423	42298.1
20260424	43560.18
20260427	44229.27
20260428	44174.32
20260429	43954.59
20260430	43580.78
